Night, with activity
time,temp1,humid1,temp2,humid2,Temp3,Humid3,Avg temp,Avg humid
104,27.83,67,28.81,36,29.79,99,28.81,67.3333333333333
105,27.83,65,28.32,30,29.79,98,28.65,64.3333333333333
106,27.34,67,28.81,20,29.79,96,28.65,61
107,27.83,67,28.32,50,29.79,93,28.65,70
108,27.34,57,28.32,40,29.79,92,28.48,63
109,27.34,66,28.32,51,29.79,89,28.48,68.6666666666667
110,27.83,66,28.81,35,29.79,85,28.81,62
111,27.34,47,28.81,33,30.27,86,28.81,55.3333333333333
112,27.34,52,28.81,56,30.27,84,28.81,64
113,27.83,66,28.81,58,30.27,82,28.97,68.6666666666667
114,28.32,63,28.81,68,30.27,80,29.13,70.3333333333333
115,28.32,64,28.81,71,29.79,79,28.97,71.3333333333333
116,27.83,67,28.81,76,29.79,85,28.81,76
117,27.83,64,29.3,79,30.27,89,29.1333333333333,77.3333333333333
118,27.83,64,28.81,246,30.27,86,28.97,132
119,27.83,67,28.81,59,30.27,175,28.97,100.333333333333
120,27.83,66,29.3,44,30.27,244,29.1333333333333,118
121,27.83,64,28.81,23,29.79,279,28.81,122
122,28.32,65,28.81,17,30.27,309,29.13,130.333333333333
123,27.83,62,28.81,19,29.79,220,28.81,100.333333333333
124,27.83,67,28.81,13,30.27,180,28.97,86.6666666666667
125,28.32,66,28.81,57,29.79,101,28.97,74.6666666666667
126,28.32,63,28.81,71,29.79,15,28.97,49.6666666666667
127,28.32,52,28.81,81,29.79,0,28.97,44.3333333333333
128,28.32,66,28.81,71,29.79,0,28.97,45.6666666666667
129,28.32,61,29.3,73,29.79,75,29.1366666666667,69.6666666666667
130,28.32,68,29.3,63,29.79,76,29.1366666666667,69
131,28.81,64,28.81,48,29.79,79,29.14,63.6666666666667
132,28.32,64,29.3,45,29.3,72,28.9733333333333,60.3333333333333
133,28.32,71,29.3,39,29.79,79,29.1366666666667,63
134,28.81,70,29.3,40,29.79,75,29.3,61.6666666666667
135,28.32,72,29.3,39,29.79,80,29.1366666666667,63.6666666666667
136,28.81,72,29.3,50,29.79,78,29.3,66.6666666666667
137,28.32,67,29.3,6,29.79,79,29.1366666666667,50.6666666666667
138,28.81,73,29.3,65,29.79,79,29.3,72.3333333333333
139,28.81,70,29.3,74,29.79,78,29.3,74
140,28.81,65,29.3,83,29.79,77,29.3,75
141,28.81,70,29.79,70,30.27,75,29.62,71.6666666666667
142,28.81,70,29.79,66,30.27,74,29.62,70
143,28.81,63,29.79,27,30.27,74,29.62,54.6666666666667
144,29.3,69,29.3,43,30.76,65,29.7866666666667,59
145,29.3,64,29.3,36,30.76,71,29.7866666666667,57
146,28.81,66,29.3,0,30.27,72,29.46,46
147,28.81,67,29.3,0,30.27,76,29.46,47.6666666666667
148,29.3,232,29.3,0,30.76,78,29.7866666666667,103.333333333333
149,28.81,72,29.79,0,30.76,68,29.79,46.6666666666667
150,29.3,65,29.3,0,30.27,76,29.6233333333333,47
151,29.3,50,29.3,1,29.79,85,29.4633333333333,45.3333333333333
152,29.3,71,29.79,69,30.27,85,29.7866666666667,75
153,29.3,40,29.3,137,30.27,84,29.6233333333333,87
154,29.3,66,29.3,159,30.27,85,29.6233333333333,103.333333333333
155,29.3,60,29.79,228,30.76,83,29.95,123.666666666667
156,29.3,67,29.3,226,30.76,82,29.7866666666667,125
157,29.3,66,29.3,225,30.76,82,29.7866666666667,124.333333333333
158,29.3,65,29.3,254,31.25,78,29.95,132.333333333333
159,29.3,97,29.3,194,31.25,77,29.95,122.666666666667
160,29.3,68,29.79,168,31.25,69,30.1133333333333,101.666666666667
